title,Action,Adventure,Animation,Budget,Comedy,Crime,Domestic Opening,Drama,Family,Fantasy,Original Release Gross Worldwide,Other_Genres,Romance,Running Time,Science fiction,Thriller,Year of Release,Rating_G,Rating_PG,Rating_PG-13,Rating_R
Ralph Breaks the Internet,0.0,1.0,1.0,175000000,1.0,0.0,56237634,0.0,1.0,1.0,529323962,0.0,0.0,112.0,1.0,0.0,2018,0,1,0,0
Hotel Transylvania 3: Summer Vacation,0.0,1.0,1.0,80000000,1.0,0.0,44076225,0.0,1.0,1.0,528583774,1.0,1.0,97.0,0.0,0.0,2018,0,1,0,0
Dunkirk,1.0,0.0,0.0,100000000,0.0,0.0,50513488,1.0,0.0,0.0,525245546,1.0,0.0,106.0,0.0,1.0,2017,0,0,1,0
How to Train Your Dragon: The Hidden World,1.0,1.0,1.0,129000000,1.0,0.0,55022245,1.0,1.0,1.0,521799505,0.0,1.0,104.0,0.0,0.0,2019,0,1,0,0
Godzilla,1.0,0.0,0.0,130000000,0.0,0.0,44047541,0.0,0.0,0.0,379014294,0.0,0.0,139.0,1.0,1.0,1998,0,0,1,0
Sherlock Holmes,1.0,1.0,0.0,90000000,0.0,0.0,62304277,0.0,0.0,0.0,524028679,1.0,0.0,128.0,0.0,0.0,2009,0,0,1,0
Meet the Fockers,0.0,0.0,0.0,80000000,1.0,0.0,46120980,0.0,0.0,0.0,522657936,0.0,1.0,115.0,0.0,0.0,2004,0,0,1,0
WALL·E,0.0,1.0,1.0,180000000,0.0,0.0,63087526,0.0,1.0,0.0,521311860,0.0,1.0,98.0,1.0,0.0,2008,0,0,0,0
Kung Fu Panda 3,1.0,1.0,1.0,145000000,1.0,0.0,41282042,1.0,1.0,1.0,521170825,0.0,0.0,95.0,0.0,0.0,2016,0,1,0,0
Terminator 2: Judgment Day,1.0,0.0,0.0,102000000,0.0,0.0,31765506,0.0,0.0,0.0,204843345,0.0,0.0,137.0,1.0,0.0,1991,0,0,0,1
Ant-Man,1.0,1.0,0.0,130000000,1.0,0.0,57225526,0.0,0.0,0.0,519311965,0.0,0.0,117.0,1.0,0.0,2015,0,0,1,0
The Grinch,0.0,1.0,1.0,75000000,1.0,0.0,67572855,0.0,1.0,1.0,511595957,1.0,0.0,85.0,0.0,0.0,2018,0,1,0,0
Ghost,0.0,0.0,0.0,22000000,0.0,0.0,12191540,1.0,0.0,1.0,217631306,0.0,1.0,127.0,0.0,1.0,1990,0,0,0,0
Rio 2,0.0,1.0,1.0,103000000,1.0,1.0,39327869,1.0,1.0,0.0,498781117,1.0,0.0,101.0,0.0,0.0,2014,1,0,0,0
Troy,0.0,0.0,0.0,175000000,0.0,0.0,46865412,1.0,0.0,0.0,497409852,1.0,0.0,163.0,0.0,0.0,2004,0,0,0,1
Toy Story 2,0.0,1.0,1.0,90000000,1.0,0.0,300163,0.0,1.0,1.0,487059677,0.0,0.0,92.0,0.0,0.0,1999,0,0,0,0
