title,Action,Adventure,Animation,Budget,Comedy,Crime,Domestic Distributor,Domestic Opening,Drama,Family,Fantasy,MPAA Rating,Original Release Gross Worldwide,Other_Genres,Romance,Running Time,Science fiction,Thriller,Year of Release
Deadpool,1.0,1.0,,58000000,1.0,,Twentieth Century Fox,132434639,,,,R,782612155,,,108.0,1.0,,2016
Star Wars: Episode IV - A New Hope,1.0,1.0,,11000000,,,Twentieth Century Fox,1554475,,,1.0,PG,307263857,,,121.0,1.0,,1977
Guardians of the Galaxy,1.0,1.0,,170000000,1.0,,Walt Disney Studios Motion Pictures,94320883,,,,PG-13,772776600,,,121.0,1.0,,2014
The Da Vinci Code,,,,125000000,,,Sony Pictures Entertainment (SPE),77073388,,,,PG-13,760006945,1.0,,149.0,,1.0,2006
Fast & Furious Presents: Hobbs & Shaw,1.0,1.0,,200000000,,,Universal Pictures,60038950,,,,,759056935,,,137.0,,1.0,2019
Maleficent,1.0,1.0,,180000000,,,Walt Disney Studios Motion Pictures,69431298,,1.0,1.0,PG,758410378,,1.0,97.0,,,2014
The Amazing Spider-Man,1.0,1.0,,230000000,,,Sony Pictures Entertainment (SPE),62004688,,,1.0,PG-13,757930663,,,136.0,1.0,,2012
The Hunger Games: Mockingjay - Part 1,1.0,1.0,,125000000,,,Lionsgate,121897634,,,,PG-13,755356711,,,123.0,1.0,1.0,2014
Shrek Forever After,,1.0,1.0,165000000,1.0,,DreamWorks,70838207,,1.0,1.0,PG,752600867,,1.0,93.0,,,2010
Madagascar 3: Europe's Most Wanted,,1.0,1.0,145000000,1.0,,DreamWorks,60316738,,1.0,,PG,746921274,,,95.0,,,2012
Suicide Squad,1.0,1.0,,175000000,,,Warner Bros.,133682248,,,1.0,PG-13,746846894,,,123.0,1.0,,2016
X-Men: Days of Future Past,1.0,1.0,,200000000,,,Twentieth Century Fox,90823660,,,,PG-13,746045700,,,132.0,1.0,1.0,2014
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",,1.0,,180000000,,,Walt Disney Studios Motion Pictures,65556312,,1.0,1.0,PG,745013115,,,143.0,,,2005
The Matrix Reloaded,1.0,,,150000000,,,Warner Bros.,91774413,,,,R,739412035,,,138.0,1.0,,2003
Up,,1.0,1.0,175000000,1.0,,Walt Disney Studios Motion Pictures,68108790,1.0,1.0,,PG,735099082,,,96.0,,,2009
Gravity,,1.0,,100000000,,,Warner Bros.,55785112,1.0,,,PG-13,723192705,,,91.0,1.0,1.0,2013
Captain America: The Winter Soldier,1.0,1.0,,170000000,,,Walt Disney Studios Motion Pictures,95023721,,,,PG-13,714421503,,,136.0,1.0,1.0,2014
The Twilight Saga: Breaking Dawn - Part 1,,1.0,,110000000,,,Summit Entertainment,138122261,1.0,,1.0,PG-13,712205856,,1.0,117.0,,1.0,2011
The Twilight Saga: New Moon,,1.0,,50000000,,,Summit Entertainment,142839137,1.0,,1.0,PG-13,709827462,,1.0,130.0,,,2009
Dawn of the Planet of the Apes,1.0,1.0,,170000000,,,Twentieth Century Fox,72611427,1.0,,,PG-13,710644566,,,130.0,1.0,,2014
Transformers,1.0,1.0,,150000000,,,DreamWorks,70502384,,,,PG-13,709709780,,,144.0,1.0,,2007
It,,,,35000000,,,Warner Bros.,123403419,,,,R,700381748,1.0,,135.0,,,2017
Interstellar,,1.0,,165000000,,,Paramount Pictures,47510360,1.0,,,PG-13,677896797,,,169.0,1.0,,2014
The Twilight Saga: Eclipse,1.0,1.0,,68000000,,,Summit Entertainment,64832191,1.0,,1.0,PG-13,698491347,,1.0,124.0,,1.0,2010
Mission: Impossible - Ghost Protocol,1.0,1.0,,145000000,,,Paramount Pictures,12785204,,,,PG-13,694713380,,,132.0,,1.0,2011
The Hunger Games,1.0,1.0,,78000000,,,Lionsgate,152535747,,,,PG-13,694394724,,,142.0,1.0,1.0,2012
Mission: Impossible - Rogue Nation,1.0,1.0,,150000000,,,Paramount Pictures,55520089,,,,PG-13,682714267,,,131.0,,1.0,2015
Forrest Gump,,,,55000000,,,Paramount Pictures,24450602,1.0,,,PG-13,329694499,,1.0,142.0,,,1994
Doctor Strange,1.0,1.0,,165000000,,,Walt Disney Studios Motion Pictures,85058311,,,1.0,PG-13,677718395,,,115.0,1.0,,2016
The Sixth Sense,,,,40000000,,,Walt Disney Studios Motion Pictures,26681262,1.0,,,PG-13,672806292,1.0,,107.0,,1.0,1999
Man of Steel,1.0,1.0,,225000000,,,Warner Bros.,116619362,,,,PG-13,668045518,,,143.0,1.0,,2013
Ice Age: The Meltdown,,1.0,1.0,80000000,1.0,,Twentieth Century Fox,68033544,,1.0,,PG,660998756,,,91.0,,,2006
Kung Fu Panda 2,1.0,1.0,1.0,150000000,1.0,,DreamWorks,47656302,1.0,1.0,1.0,PG,665692281,,,90.0,,,2011
