link_stub,title,World Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,year,Domestic Distributor,Domestic Opening,budget,MPAA,Running Time,genres,Original Release Domestic,Original Release International,Original Release Worldwide
/title/tt8033592/?ref_=bo_cso_table_195,Us and Them,"$209,221,380",-,-,"$209,221,380",100%,2018,,0,0,,0,"['Drama', 'Romance']",0,209221380,209221380
/title/tt0289765/?ref_=bo_cso_table_196,Red Dragon,"$209,196,298","$93,149,898",44.5%,"$116,046,400",55.5%,2002,"Universal Pictures

",36540945,78000000,R,124,"['Crime', 'Drama', 'Thriller']",93149898,116046400,209196298
/title/tt1964418/?ref_=bo_cso_table_197,Tomorrowland,"$209,035,668","$93,436,322",44.7%,"$115,599,346",55.3%,2015,"Walt Disney Studios Motion Pictures

",33028165,190000000,PG,130,"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery', 'Science fiction']",93436322,115599346,209035668
/title/tt0870154/?ref_=bo_cso_table_198,Jungle Cruise,"$209,031,202","$114,893,077",55%,"$94,138,125",45%,2021,"Walt Disney Studios Motion Pictures

",35018731,0,PG-13,127,"['Action', 'Adventure', 'Comedy', 'Fantasy']",114893077,94138125,209031202
/title/tt2674426/?ref_=bo_cso_table_199,Me Before You,"$208,314,186","$56,245,075",27%,"$152,069,111",73%,2016,"Warner Bros.

",18723269,20000000,PG-13,106,"['Drama', 'Romance']",56245075,152069111,208314186
/title/tt1599348/?ref_=bo_cso_table_200,Safe House,"$208,076,205","$126,373,434",60.7%,"$81,702,771",39.3%,2012,"Universal Pictures

",40172720,85000000,R,115,"['Action', 'Thriller']",126373434,81702771,208076205
/title/tt0257076/?ref_=bo_cso_table_1,S.W.A.T.,"$207,725,639","$116,934,650",56.3%,"$90,790,989",43.7%,2003,"Sony Pictures Entertainment (SPE)

",37062535,80000000,PG-13,117,"['Action', 'Adventure', 'Crime', 'Thriller']",116934650,90790989,207725639
/title/tt0181865/?ref_=bo_cso_table_2,Traffic,"$207,515,725","$124,115,725",59.8%,"$83,400,000",40.2%,2000,"USA Films

",184725,0,R,147,"['Crime', 'Drama', 'Thriller']",124115725,83400000,207515725
/title/tt0232500/?ref_=bo_cso_table_3,The Fast and the Furious,"$207,305,509","$144,533,925",69.7%,"$62,771,584",30.3%,2001,"Universal Pictures

",40089015,38000000,PG-13,106,"['Action', 'Crime', 'Thriller']",144533925,62750000,207283925
/title/tt1778304/?ref_=bo_cso_table_4,Paranormal Activity 3,"$207,039,844","$104,028,807",50.2%,"$103,011,037",49.8%,2011,"Paramount Pictures

",52568183,5000000,R,83,"['Horror', 'Mystery']",104028807,103011037,207039844
/title/tt0107818/?ref_=bo_cso_table_5,Philadelphia,"$206,678,440","$77,446,440",37.5%,"$129,232,000",62.5%,1993,"TriStar Pictures

",143433,26000000,PG-13,125,['Drama'],77446440,129232000,206678440
/title/tt0162661/?ref_=bo_cso_table_6,Sleepy Hollow,"$206,071,502","$101,071,502",49%,"$105,000,000",51%,1999,"Paramount Pictures

",30060467,100000000,R,105,"['Fantasy', 'Horror', 'Mystery']",101071502,105000000,206071502
/title/tt0457939/?ref_=bo_cso_table_7,The Holiday,"$205,850,134","$63,224,849",30.7%,"$142,625,285",69.3%,2006,"Sony Pictures Entertainment (SPE)

",12778913,85000000,PG-13,136,"['Comedy', 'Romance']",63224849,142617036,205841885
/title/tt3300542/?ref_=bo_cso_table_9,London Has Fallen,"$205,754,447","$62,524,260",30.4%,"$143,230,187",69.6%,2016,"Focus Features

",21635601,60000000,R,99,"['Action', 'Thriller']",62524260,143230187,205754447
/title/tt0452594/?ref_=bo_cso_table_10,The Break-Up,"$205,668,210","$118,703,275",57.7%,"$86,964,935",42.3%,2006,"Universal Pictures

",39172785,52000000,PG-13,106,"['Comedy', 'Drama', 'Romance']",118703275,86964935,205668210
/title/tt2017561/?ref_=bo_cso_table_11,Journey to the West,"$205,637,183","$18,058",<0.1%,"$205,619,125",100%,2013,"Magnolia Pictures

",7456,0,PG-13,110,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']",18058,205619125,205637183
/title/tt0102138/?ref_=bo_cso_table_12,JFK,"$205,405,498","$70,405,498",34.3%,"$135,000,000",65.7%,1991,"Warner Bros.

",5223658,0,R,189,"['Drama', 'History', 'Thriller']",70405498,0,70405498
/title/tt2334879/?ref_=bo_cso_table_13,White House Down,"$205,366,737","$73,103,784",35.6%,"$132,262,953",64.4%,2013,"Sony Pictures Entertainment (SPE)

",24852258,150000000,PG-13,131,"['Action', 'Drama', 'Thriller']",73103784,132262953,205366737
/title/tt1753383/?ref_=bo_cso_table_14,A Dog's Purpose,"$205,035,819","$64,508,620",31.5%,"$140,527,199",68.5%,2017,"Universal Pictures

",18222810,22000000,PG,100,"['Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",64508620,140527199,205035819
/title/tt0876563/?ref_=bo_cso_table_15,Ponyo,"$204,826,668","$15,743,471",7.7%,"$189,083,197",92.3%,2008,"Walt Disney Studios Motion Pictures

",3585852,0,,101,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",15090399,189081411,204171810
/title/tt0369441/?ref_=bo_cso_table_16,Fun with Dick and Jane,"$204,681,899","$110,332,737",53.9%,"$94,349,162",46.1%,2005,"Sony Pictures Entertainment (SPE)

",14383515,100000000,PG-13,90,"['Comedy', 'Crime']",110332737,94349162,204681899
/title/tt0879870/?ref_=bo_cso_table_17,Eat Pray Love,"$204,594,016","$80,574,010",39.4%,"$124,020,006",60.6%,2010,"Sony Pictures Entertainment (SPE)

",23104523,60000000,PG-13,133,"['Biography', 'Drama', 'Romance']",80574010,124020006,204594016
/title/tt0960144/?ref_=bo_cso_table_18,You Don't Mess with the Zohan,"$204,313,400","$100,018,837",49%,"$104,294,563",51%,2008,"Sony Pictures Entertainment (SPE)

",38531374,90000000,PG-13,113,['Comedy'],100018837,104294563,204313400
/title/tt0101272/?ref_=bo_cso_table_78,The Addams Family,"$191,502,426","$113,502,426",59.3%,"$78,000,000",40.7%,1991,"Paramount Pictures

",24203754,30000000,,99,"['Comedy', 'Fantasy']",113502426,0,113502426
/title/tt0349683/?ref_=bo_cso_table_20,King Arthur,"$203,567,857","$51,882,244",25.5%,"$151,685,613",74.5%,2004,"Walt Disney Studios Motion Pictures

",15193907,120000000,PG-13,126,"['Action', 'Adventure', 'Drama', 'History', 'War']",51882244,151685613,203567857
/title/tt0427327/?ref_=bo_cso_table_21,Hairspray,"$203,553,311","$118,871,849",58.4%,"$84,681,462",41.6%,2007,"New Line Cinema

",27800000,0,PG,117,"['Comedy', 'Drama', 'Musical', 'Romance']",118871849,84681073,203552922
/title/tt1302067/?ref_=bo_cso_table_22,Yogi Bear,"$203,509,374","$100,246,011",49.3%,"$103,263,363",50.7%,2010,"Warner Bros.

",16411322,80000000,PG,81,"['Adventure', 'Animation', 'Comedy', 'Family']",100246011,103263363,203509374
/title/tt2719848/?ref_=bo_cso_table_23,Everest,"$203,427,584","$43,482,270",21.4%,"$159,945,314",78.6%,2015,"Universal Pictures

",7222035,55000000,PG-13,121,"['Action', 'Adventure', 'Biography', 'Drama', 'Thriller']",43482270,159945314,203427584
/title/tt0259711/?ref_=bo_cso_table_24,Vanilla Sky,"$203,388,341","$100,618,344",49.5%,"$102,769,997",50.5%,2001,"Paramount Pictures

",25015518,68000000,R,136,"['Fantasy', 'Mystery', 'Romance', 'Science fiction', 'Thriller']",100618344,102769997,203388341
/title/tt2543164/?ref_=bo_cso_table_25,Arrival,"$203,388,186","$100,546,139",49.4%,"$102,842,047",50.6%,2016,"Paramount Pictures

",24074047,47000000,PG-13,116,"['Drama', 'Science fiction']",100546139,102842047,203388186
/title/tt2369135/?ref_=bo_cso_table_26,Need for Speed,"$203,277,636","$43,577,636",21.4%,"$159,700,000",78.6%,2014,"Walt Disney Studios Motion Pictures

",17844939,66000000,PG-13,132,"['Action', 'Crime', 'Thriller']",43577636,159700000,203277636
/title/tt0356634/?ref_=bo_cso_table_27,Garfield,"$203,172,417","$75,369,589",37.1%,"$127,802,828",62.9%,2004,"Twentieth Century Fox

",21727611,50000000,PG,80,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",75369589,127802828,203172417
/title/tt0129290/?ref_=bo_cso_table_28,Patch Adams,"$202,292,902","$135,026,902",66.8%,"$67,266,000",33.2%,1998,"Universal Pictures

",25262280,90000000,PG-13,115,"['Biography', 'Comedy', 'Drama', 'Romance']",135026902,67266000,202292902
/title/tt0100758/?ref_=bo_cso_table_29,Teenage Mutant Ninja Turtles: The Movie,"$201,965,915","$135,265,915",67%,"$66,700,000",33%,1990,"New Line Cinema

",25398367,13500000,,93,"['Action', 'Adventure', 'Comedy', 'Family', 'Science fiction']",135265915,0,135265915
/title/tt7069210/?ref_=bo_cso_table_30,The Conjuring: The Devil Made Me Do It,"$201,965,074","$65,565,074",32.5%,"$136,400,000",67.5%,2021,"Warner Bros.

",24104332,0,R,112,"['Horror', 'Mystery', 'Thriller']",65565074,136400000,201965074
/title/tt0099938/?ref_=bo_cso_table_31,Kindergarten Cop,"$201,957,688","$91,457,688",45.3%,"$110,500,000",54.7%,1990,"Universal Pictures

",7918560,15000000,,111,"['Action', 'Comedy', 'Crime']",91457688,110500000,201957688
/title/tt7713068/?ref_=bo_cso_table_32,Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%,2020,"Warner Bros.

",33010017,84500000,R,109,"['Action', 'Adventure', 'Comedy', 'Crime']",84158461,117700000,201858461
/title/tt1398426/?ref_=bo_cso_table_33,Straight Outta Compton,"$201,634,991","$161,197,785",80%,"$40,437,206",20%,2015,"Universal Pictures

",60200180,28000000,R,147,"['Biography', 'Drama', 'History', 'Music']",161197785,40437206,201634991
/title/tt1232829/?ref_=bo_cso_table_34,21 Jump Street,"$201,585,328","$138,447,667",68.7%,"$63,137,661",31.3%,2012,"Sony Pictures Entertainment (SPE)

",36302612,42000000,R,109,"['Action', 'Comedy', 'Crime']",138447667,63137661,201585328
/title/tt0985699/?ref_=bo_cso_table_35,Valkyrie,"$201,545,517","$83,077,833",41.2%,"$118,467,684",58.8%,2008,"United Artists

",21027007,75000000,PG-13,121,"['Drama', 'History', 'Thriller', 'War']",83077833,118467684,201545517
/title/tt0400717/?ref_=bo_cso_table_36,Open Season,"$200,811,689","$85,105,259",42.4%,"$115,706,430",57.6%,2006,"Sony Pictures Entertainment (SPE)

",23624548,85000000,PG,86,"['Adventure', 'Animation', 'Comedy', 'Drama', 'Family']",85105259,115706430,200811689
