title,Year of Release,Domestic Distributor,Domestic Opening,Budget,MPAA Rating,Running Time,Genres,Original Release Gross Worldwide
Fun with Dick and Jane,2005,Sony Pictures Entertainment (SPE),14383515,100000000,PG-13,90.0,"['Comedy', 'Crime']",204681899
Eat Pray Love,2010,Sony Pictures Entertainment (SPE),23104523,60000000,PG-13,133.0,"['Biography', 'Drama', 'Romance']",204594016
You Don't Mess with the Zohan,2008,Sony Pictures Entertainment (SPE),38531374,90000000,PG-13,113.0,['Comedy'],204313400
The Addams Family,1991,Paramount Pictures,24203754,30000000,,99.0,"['Comedy', 'Fantasy']",113502426
King Arthur,2004,Walt Disney Studios Motion Pictures,15193907,120000000,PG-13,126.0,"['Action', 'Adventure', 'Drama', 'History', 'War']",203567857
Yogi Bear,2010,Warner Bros.,16411322,80000000,PG,81.0,"['Adventure', 'Animation', 'Comedy', 'Family']",203509374
Everest,2015,Universal Pictures,7222035,55000000,PG-13,121.0,"['Action', 'Adventure', 'Biography', 'Drama', 'Thriller']",203427584
Vanilla Sky,2001,Paramount Pictures,25015518,68000000,R,136.0,"['Fantasy', 'Mystery', 'Romance', 'Science fiction', 'Thriller']",203388341
Arrival,2016,Paramount Pictures,24074047,47000000,PG-13,116.0,"['Drama', 'Science fiction']",203388186
Need for Speed,2014,Walt Disney Studios Motion Pictures,17844939,66000000,PG-13,132.0,"['Action', 'Crime', 'Thriller']",203277636
Garfield,2004,Twentieth Century Fox,21727611,50000000,PG,80.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",203172417
Patch Adams,1998,Universal Pictures,25262280,90000000,PG-13,115.0,"['Biography', 'Comedy', 'Drama', 'Romance']",202292902
